Reaction,Potential,Symbol,Name,Atomic_Number,Atomic_Mass,Atomic_radius,Covalent_radius,Electrons,Electron_affinity,Period,group,group_name,Electron,environments_ox,environments_red
Ac3+ + 3e- → Ac,-2.6,Ac,Actinium,89,227.0,195.0,186.0,89,0.35,7,"<Group(symbol=IIIB, name=)>","<Group(symbol=IIIB, name=)>",3,0,0
Ag2S + 2e- → 2Ag + S2-,-0.69,Ag,Silver,47,107.8682,160.0,128.0,47,1.3019999999999998,5,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,0,0
[Ag(CN)3]2- + e- → Ag + 3CN-,-0.51,Ag,Silver,47,107.8682,160.0,128.0,47,1.3019999999999998,5,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
[Ag(CN)2]- + e- → Ag + 2CN-,-0.29,Ag,Silver,47,107.8682,160.0,128.0,47,1.3019999999999998,5,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
Ag2S + H+ + 2e- → 2Ag + HS-,-0.272,Ag,Silver,47,107.8682,160.0,128.0,47,1.3019999999999998,5,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",2,-1,0
AgI + e- → Ag + I-,-0.152,Ag,Silver,47,107.8682,160.0,128.0,47,1.3019999999999998,5,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
AgCN + e- → Ag + CN-,-0.04,Ag,Silver,47,107.8682,160.0,128.0,47,1.3019999999999998,5,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
[Ag(S2O3)2]3- + e- → Ag + 2S2O32-,0.01,Ag,Silver,47,107.8682,160.0,128.0,47,1.3019999999999998,5,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
AgBr + e- → Ag + Br-,0.071,Ag,Silver,47,107.8682,160.0,128.0,47,1.3019999999999998,5,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
AgSCN + e- → Ag + SCN-,0.09,Ag,Silver,47,107.8682,160.0,128.0,47,1.3019999999999998,5,"<Group(symbol=IB, name=Coinage metals)>","<Group(symbol=IB, name=Coinage metals)>",1,0,0
